Run Name,Best mIoU,FPS,ADAS Latency Met,Best Epoch,Total Epochs,Duration (H:M:S),Batch Size,LR
GeminiUNetV2_run10_increased_capacity_dice_focused_20250913_103437,0.690512268660876,66.11,NO,39,49,N/A,16,0.001
GeminiUNetV2_run13_dice_focused_more_20250913_110426,0.6819359729453442,98.63,NO,30,40,N/A,16,0.001
GeminiUNetV2_run14_vegetation_analysis_20250913_112338,0.5469855375041315,98.88,NO,5,5,N/A,16,0.001
GeminiUNetV2_run1_20250912_142028,0.397967330464383,95.05,NO,30,30,N/A,16,0.001
GeminiUNetV2_run1_20250912_235320,0.5028710937256349,94.61,NO,40,40,N/A,16,0.001
GeminiUNetV2_run1_20250913_000602,0.4353122576934577,94.64,NO,40,40,N/A,16,0.001
GeminiUNetV2_run1_20250913_000939,0.0136564293686224,103.67,NO,1,8,N/A,16,0.001
GeminiUNetV2_run2_no_sea_20250912_142258,0.0028195750956632,103.74,NO,1,8,N/A,16,0.001
GeminiUNetV2_run2_no_sea_20250912_155612,0.0840591808126444,104.67,NO,5,12,N/A,16,0.001
GeminiUNetV2_run4_filters64_20250912_155817,0.5050057470102457,47.89,NO,27,37,N/A,16,0.001
GeminiUNetV2_run5_augmentation_20250912_160726,0.447264214151396,94.14,NO,48,50,N/A,16,0.001
GeminiUNetV2_run5_augmentation_20250913_001101,0.0028195750956632,94.70,NO,1,11,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250912_161207,0.5602186929746137,47.96,NO,47,50,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250912_172310,0.6078971548094543,43.95,NO,19,20,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250913_001238,0.4848376195625014,N/A,N/A,4,4,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250913_001847,0.581990869245326,49.24,NO,17,20,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250913_013645,0.6455094729290153,49.20,NO,22,32,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_20250913_063001,0.678882651830247,49.18,NO,75,85,N/A,16,0.001
GeminiUNetV2_run6_large_augmentation_bilinear_dice_focused_20250913_093510,0.6931373033425532,49.17,NO,56,66,N/A,16,0.001
GeminiUNetV2_run7_focal_loss_20250912_162014,0.2913643652496605,47.88,NO,15,25,N/A,16,0.001
GeminiUNetV2_run7_focal_loss_20250913_003924,0.4484858469459302,47.90,NO,43,50,N/A,16,0.001
GeminiUNetV2_run8_small_deconv_20250912_162525,0.5335866427222099,96.85,NO,45,50,N/A,16,0.001
GeminiUNetV2_run8_small_deconv_20250912_170956,0.2547571718761375,101.40,NO,8,18,N/A,16,0.001
GeminiUNetV2_run8_small_deconv_20250912_230400,0.669879299150901,98.63,NO,35,40,N/A,16,0.001
GeminiUNetV2_run8_small_deconv_20250912_232132,0.6579816252849926,98.73,NO,35,40,N/A,16,0.001
GeminiUNetV2_run8_small_deconv_20250913_005829,0.6083442899676527,98.67,NO,14,24,N/A,16,0.001
GeminiUNetV2_run9_dice_focused_20250912_163020,0.4995283992505446,97.07,NO,50,50,N/A,16,0.001
GeminiUNetV2_run9_dice_focused_20250913_004605,0.6373714275335264,98.73,NO,20,20,N/A,16,0.001
GeminiUNetV2_run9_dice_focused_20250913_011120,0.7026143976186103,98.66,NO,45,55,N/A,16,0.001
